id1	id2	total_ibd_mb	n_seg	max_seg_mb	z1z2_hat
HG02046	HG02067	22.814	4	7.915	0.6483170639301894
NA20526	NA20792	22.735	7	12.91	0.6460720806720809
HG00581	HG00635	8.126000000000001	3	5.008	0.23092068297960547
NA20334	NA20336	5.231	2	3.839	0.1486519926982914
HG02373	HG02381	3.8489999999999998	2	2.401	0.10937899443619263
HG02375	HG02388	2.553	2	1.295	0.0725499019993764
NA19238	NA20344	1.326	1	1.326	0.03768161772470549
NA20289	NA20341	1.234	1	1.234	0.035067206841845076
HG02353	HG02372	1.092	1	1.092	0.03103192047916923
HG00732	NA19660	1.084	1	1.084	0.030804580402398758
HG02386	HG02388	1.084	1	1.084	0.030804580402398758
HG00731	HG00733	1.063	1	1.063	0.03020781270087627
NA19679	NA19713	1.063	1	1.063	0.03020781270087627
HG00731	NA20526	1.052	1	1.052	0.029895220095316876
HG00635	HG00702	1.029	1	1.029	0.02924161737460177
HG00635	HG02388	1.029	1	1.029	0.02924161737460177
HG00732	HG02372	1.003	1	1.003	0.02850276212509774
