id1	id2	total_ibd_mb	n_seg	max_seg_mb	z1z2_hat
NA20289	NA20341	94.368	22	7.251	0.08885513098632597
HG00501	HG00524	64.877	16	8.881	0.061086960971938255
HG02373	HG02381	58.65	13	7.618	0.05522373508337591
NA20334	NA20336	36.782	9	6.753	0.034633238258085806
NA20321	NA20322	36.535	10	5.007	0.034400667711357864
HG02046	HG02067	33.387	8	5.955	0.03143657021702765
NA19713	NA19985	32.077	9	4.073	0.03020309889632479
HG00581	HG00635	27.714	7	5.514	0.026094980291571694
NA20886	NA20898	24.947	2	21.159	0.02348962521952223
HG02025	NA20886	21.516	1	21.516	0.02025906025667376
HG03715	NA19239	21.276	1	21.276	0.020033080778071713
HG00731	HG03673	21.159	1	21.159	0.019922915782253213
HG02025	NA20898	21.159	1	21.159	0.019922915782253213
HG02046	HG03715	21.159	1	21.159	0.019922915782253213
HG02046	NA19239	21.159	1	21.159	0.019922915782253213
HG02375	NA19713	21.159	1	21.159	0.019922915782253213
NA20526	NA20792	18.688000000000002	5	4.222	0.017596268733812943
HG03673	HG03948	16.985	5	4.081	0.01599275601689923
HG03713	HG03715	8.889	2	4.738	0.008369714938723417
HG00702	NA19661	7.215	2	3.622	0.006793508075474121
HG02371	HG02372	7.106999999999999	2	3.622	0.006691817310103198
HG02067	NA20886	7.048	2	3.818	0.006636264021613528
HG02026	HG03715	6.644	2	3.414	0.006255865232633411
HG00731	HG03715	6.401	2	3.23	0.0060270610105488355
HG02386	NA19675	4.738	1	4.738	0.004461211540068799
HG00581	HG00702	4.151	1	4.151	0.003908503398654619
HG01936	HG02026	4.151	1	4.151	0.003908503398654619
HG02250	HG02363	4.151	1	4.151	0.003908503398654619
NA19661	NA20898	4.151	1	4.151	0.003908503398654619
HG00732	HG00733	4.043	1	4.043	0.003806812633283697
HG00733	NA20895	3.818	1	3.818	0.003594956872094275
NA19238	NA19240	3.818	1	3.818	0.003594956872094275
HG00702	NA20341	3.622	1	3.622	0.0034104069645692677
HG00731	NA20898	3.622	1	3.622	0.0034104069645692677
HG02024	HG02375	3.622	1	3.622	0.0034104069645692677
HG02024	HG02388	3.622	1	3.622	0.0034104069645692677
HG02025	HG02371	3.622	1	3.622	0.0034104069645692677
HG02025	HG02372	3.622	1	3.622	0.0034104069645692677
HG02025	HG02373	3.622	1	3.622	0.0034104069645692677
HG02026	HG02387	3.622	1	3.622	0.0034104069645692677
HG02250	HG02377	3.622	1	3.622	0.0034104069645692677
HG02371	HG02373	3.622	1	3.622	0.0034104069645692677
HG02372	HG02373	3.622	1	3.622	0.0034104069645692677
HG02375	HG02388	3.622	1	3.622	0.0034104069645692677
HG03713	NA20895	3.622	1	3.622	0.0034104069645692677
HG03715	NA20895	3.622	1	3.622	0.0034104069645692677
NA19661	NA20341	3.622	1	3.622	0.0034104069645692677
NA19678	NA20526	3.622	1	3.622	0.0034104069645692677
HG00119	HG02025	3.593	1	3.593	0.0033831011109048533
HG00119	HG02353	3.593	1	3.593	0.0033831011109048533
HG00501	HG00581	3.593	1	3.593	0.0033831011109048533
HG00501	HG00702	3.593	1	3.593	0.0033831011109048533
HG00501	HG02250	3.593	1	3.593	0.0033831011109048533
HG00501	HG02363	3.593	1	3.593	0.0033831011109048533
HG00501	HG02388	3.593	1	3.593	0.0033831011109048533
HG00501	NA19661	3.593	1	3.593	0.0033831011109048533
HG00501	NA20898	3.593	1	3.593	0.0033831011109048533
HG00581	HG02250	3.593	1	3.593	0.0033831011109048533
HG00581	HG02363	3.593	1	3.593	0.0033831011109048533
HG00581	HG02388	3.593	1	3.593	0.0033831011109048533
HG00581	NA19661	3.593	1	3.593	0.0033831011109048533
HG00581	NA20898	3.593	1	3.593	0.0033831011109048533
HG00635	HG02377	3.593	1	3.593	0.0033831011109048533
HG00702	HG02250	3.593	1	3.593	0.0033831011109048533
HG00702	HG02363	3.593	1	3.593	0.0033831011109048533
HG00702	HG02388	3.593	1	3.593	0.0033831011109048533
HG00702	NA20898	3.593	1	3.593	0.0033831011109048533
HG01936	HG02024	3.593	1	3.593	0.0033831011109048533
HG01936	NA19985	3.593	1	3.593	0.0033831011109048533
HG02024	HG02026	3.593	1	3.593	0.0033831011109048533
HG02024	NA19985	3.593	1	3.593	0.0033831011109048533
HG02025	HG02353	3.593	1	3.593	0.0033831011109048533
HG02026	NA19985	3.593	1	3.593	0.0033831011109048533
HG02250	HG02388	3.593	1	3.593	0.0033831011109048533
HG02250	NA19661	3.593	1	3.593	0.0033831011109048533
HG02250	NA20898	3.593	1	3.593	0.0033831011109048533
HG02363	HG02388	3.593	1	3.593	0.0033831011109048533
HG02363	NA19661	3.593	1	3.593	0.0033831011109048533
HG02363	NA20898	3.593	1	3.593	0.0033831011109048533
HG02387	HG03948	3.593	1	3.593	0.0033831011109048533
HG02388	NA19661	3.593	1	3.593	0.0033831011109048533
HG02388	NA20898	3.593	1	3.593	0.0033831011109048533
NA19660	NA19664	3.593	1	3.593	0.0033831011109048533
HG00501	NA20322	3.489	1	3.489	0.0032851766701772985
HG01983	HG02381	3.414	1	3.414	0.003214558083114158
HG02386	HG03713	3.414	1	3.414	0.003214558083114158
HG00124	HG02025	3.268	1	3.268	0.003077087233631244
HG00119	HG00124	3.23	1	3.23	0.003041307149519253
HG00119	NA20334	3.23	1	3.23	0.003041307149519253
HG00124	HG02353	3.23	1	3.23	0.003041307149519253
HG00124	NA20334	3.23	1	3.23	0.003041307149519253
HG00501	HG02387	3.23	1	3.23	0.003041307149519253
HG00501	HG03948	3.23	1	3.23	0.003041307149519253
HG00501	NA20895	3.23	1	3.23	0.003041307149519253
HG00524	HG02386	3.23	1	3.23	0.003041307149519253
HG00524	NA19678	3.23	1	3.23	0.003041307149519253
HG00581	HG02387	3.23	1	3.23	0.003041307149519253
HG00581	HG03948	3.23	1	3.23	0.003041307149519253
HG00581	NA20322	3.23	1	3.23	0.003041307149519253
HG00581	NA20895	3.23	1	3.23	0.003041307149519253
HG00702	HG02387	3.23	1	3.23	0.003041307149519253
HG00702	HG03948	3.23	1	3.23	0.003041307149519253
HG00702	NA20322	3.23	1	3.23	0.003041307149519253
HG00702	NA20895	3.23	1	3.23	0.003041307149519253
HG00731	HG01936	3.23	1	3.23	0.003041307149519253
HG00731	HG02024	3.23	1	3.23	0.003041307149519253
HG00731	HG02026	3.23	1	3.23	0.003041307149519253
HG00731	HG03713	3.23	1	3.23	0.003041307149519253
HG00731	NA19238	3.23	1	3.23	0.003041307149519253
HG00731	NA19660	3.23	1	3.23	0.003041307149519253
HG00731	NA19664	3.23	1	3.23	0.003041307149519253
HG00731	NA19675	3.23	1	3.23	0.003041307149519253
HG00731	NA19713	3.23	1	3.23	0.003041307149519253
HG00731	NA19985	3.23	1	3.23	0.003041307149519253
HG00732	HG03673	3.23	1	3.23	0.003041307149519253
HG00732	NA20868	3.23	1	3.23	0.003041307149519253
HG00732	NA20871	3.23	1	3.23	0.003041307149519253
HG01936	HG03713	3.23	1	3.23	0.003041307149519253
HG01936	HG03715	3.23	1	3.23	0.003041307149519253
HG01936	NA19238	3.23	1	3.23	0.003041307149519253
HG01936	NA19660	3.23	1	3.23	0.003041307149519253
HG01936	NA19664	3.23	1	3.23	0.003041307149519253
HG01936	NA19675	3.23	1	3.23	0.003041307149519253
HG01936	NA19713	3.23	1	3.23	0.003041307149519253
HG01983	HG02375	3.23	1	3.23	0.003041307149519253
