id1	id2	total_ibd_mb	n_seg	max_seg_mb	z1z2_hat
NA20289	NA20341	202.557	82	7.251	0.19072385519664747
HG02046	HG02067	167.285	87	5.955	0.1575124044914329
HG00501	HG00524	166.893	79	8.881	0.15714330467638288
HG02373	HG02381	165.588	77	7.618	0.15591454126148424
NA20526	NA20792	145.481	86	4.222	0.13698216886043668
NA20321	NA20322	145.172	71	5.007	0.13669122028173653
NA20334	NA20336	103.313	48	6.753	0.09727757447005653
HG00581	HG00635	98.418	51	5.514	0.09266853468773556
NA19713	NA19985	97.575	46	4.073	0.09187478176914586
HG03673	HG03948	65.372	34	4.081	0.06155304364655499
NA20886	NA20898	38.876	11	21.159	0.03660490920888869
HG02025	NA20886	21.516	1	21.516	0.02025906025667376
HG03715	NA19239	21.276	1	21.276	0.020033080778071713
HG00731	HG03673	21.159	1	21.159	0.019922915782253213
HG02025	NA20898	21.159	1	21.159	0.019922915782253213
HG02046	HG03715	21.159	1	21.159	0.019922915782253213
HG02046	NA19239	21.159	1	21.159	0.019922915782253213
HG02375	NA19713	21.159	1	21.159	0.019922915782253213
HG02371	HG02372	12.734	6	3.622	0.011990094502160424
HG03713	HG03715	8.889	2	4.738	0.008369714938723417
HG00732	HG00733	8.803	5	4.043	0.008288738958891017
HG00731	HG00733	8.004	5	2.463	0.00753641561137836
HG00702	NA19661	7.215	2	3.622	0.006793508075474121
HG02067	NA20886	7.048	2	3.818	0.006636264021613528
HG02026	HG03715	6.644	2	3.414	0.006255865232633411
HG00731	HG03715	6.401	2	3.23	0.0060270610105488355
NA19660	NA19664	5.926	3	3.593	0.005579809959148946
NA20895	NA20898	5.816	3	3.23	0.005476236031456339
HG00119	HG00124	5.271	2	3.23	0.004963074298797518
NA19661	NA20898	5.1979999999999995	2	4.151	0.004894338874056061
HG02375	HG02388	4.939	2	3.622	0.004650469353398016
HG02024	HG02026	4.8309999999999995	2	3.593	0.004548778588027093
HG02386	NA19675	4.738	1	4.738	0.004461211540068799
HG02250	HG02377	4.734999999999999	2	3.622	0.004458386796586273
HG02387	HG03948	4.7	2	3.593	0.004425431455956808
HG00501	HG02388	4.679	2	3.593	0.004405658251579129
HG02250	NA20898	4.659	2	3.593	0.004386826628362291
HG00501	HG00581	4.63	2	3.593	0.004359520774697877
HG00124	HG02353	4.553	2	3.23	0.004287019025313052
NA20868	NA20871	4.553	2	3.23	0.004287019025313052
HG02387	HG02388	4.491	2	3.23	0.004228640993340856
NA19675	NA19678	4.446	4	1.221	0.004186269841102971
HG03948	NA20895	4.361	2	3.23	0.004106235442431412
HG02026	HG03713	4.359	2	3.23	0.004104352280109729
HG02024	HG03715	4.336	2	3.23	0.004082695913410366
HG02250	NA20322	4.296	2	3.23	0.004045032666976691
NA20322	NA20898	4.296	2	3.23	0.004045032666976691
HG00731	NA19664	4.274	2	3.23	0.004024317881438169
HG00581	HG00702	4.151	1	4.151	0.003908503398654619
HG01936	HG02026	4.151	1	4.151	0.003908503398654619
HG02250	HG02363	4.151	1	4.151	0.003908503398654619
HG00733	NA20895	3.818	1	3.818	0.003594956872094275
NA19238	NA19240	3.818	1	3.818	0.003594956872094275
HG00702	NA20341	3.622	1	3.622	0.0034104069645692677
HG00731	NA20898	3.622	1	3.622	0.0034104069645692677
HG02024	HG02375	3.622	1	3.622	0.0034104069645692677
HG02024	HG02388	3.622	1	3.622	0.0034104069645692677
HG02025	HG02371	3.622	1	3.622	0.0034104069645692677
HG02025	HG02372	3.622	1	3.622	0.0034104069645692677
HG02025	HG02373	3.622	1	3.622	0.0034104069645692677
HG02026	HG02387	3.622	1	3.622	0.0034104069645692677
HG02371	HG02373	3.622	1	3.622	0.0034104069645692677
HG02372	HG02373	3.622	1	3.622	0.0034104069645692677
HG03713	NA20895	3.622	1	3.622	0.0034104069645692677
HG03715	NA20895	3.622	1	3.622	0.0034104069645692677
NA19661	NA20341	3.622	1	3.622	0.0034104069645692677
NA19678	NA20526	3.622	1	3.622	0.0034104069645692677
HG00119	HG02025	3.593	1	3.593	0.0033831011109048533
HG00119	HG02353	3.593	1	3.593	0.0033831011109048533
HG00501	HG00702	3.593	1	3.593	0.0033831011109048533
HG00501	HG02250	3.593	1	3.593	0.0033831011109048533
HG00501	HG02363	3.593	1	3.593	0.0033831011109048533
HG00501	NA19661	3.593	1	3.593	0.0033831011109048533
HG00501	NA20898	3.593	1	3.593	0.0033831011109048533
HG00581	HG02250	3.593	1	3.593	0.0033831011109048533
HG00581	HG02363	3.593	1	3.593	0.0033831011109048533
HG00581	HG02388	3.593	1	3.593	0.0033831011109048533
HG00581	NA19661	3.593	1	3.593	0.0033831011109048533
HG00581	NA20898	3.593	1	3.593	0.0033831011109048533
HG00635	HG02377	3.593	1	3.593	0.0033831011109048533
HG00702	HG02250	3.593	1	3.593	0.0033831011109048533
HG00702	HG02363	3.593	1	3.593	0.0033831011109048533
HG00702	HG02388	3.593	1	3.593	0.0033831011109048533
HG00702	NA20898	3.593	1	3.593	0.0033831011109048533
HG01936	HG02024	3.593	1	3.593	0.0033831011109048533
HG01936	NA19985	3.593	1	3.593	0.0033831011109048533
HG02024	NA19985	3.593	1	3.593	0.0033831011109048533
HG02025	HG02353	3.593	1	3.593	0.0033831011109048533
HG02026	NA19985	3.593	1	3.593	0.0033831011109048533
HG02250	HG02388	3.593	1	3.593	0.0033831011109048533
HG02250	NA19661	3.593	1	3.593	0.0033831011109048533
HG02363	HG02388	3.593	1	3.593	0.0033831011109048533
HG02363	NA19661	3.593	1	3.593	0.0033831011109048533
HG02363	NA20898	3.593	1	3.593	0.0033831011109048533
HG02388	NA19661	3.593	1	3.593	0.0033831011109048533
HG02388	NA20898	3.593	1	3.593	0.0033831011109048533
NA19661	NA19685	3.504	3	1.33	0.0032993003875899265
HG00501	NA20322	3.489	1	3.489	0.0032851766701772985
HG01983	HG02381	3.414	1	3.414	0.003214558083114158
HG02386	HG03713	3.414	1	3.414	0.003214558083114158
HG00124	HG02025	3.268	1	3.268	0.003077087233631244
HG00119	NA20334	3.23	1	3.23	0.003041307149519253
HG00124	NA20334	3.23	1	3.23	0.003041307149519253
HG00501	HG02387	3.23	1	3.23	0.003041307149519253
HG00501	HG03948	3.23	1	3.23	0.003041307149519253
HG00501	NA20895	3.23	1	3.23	0.003041307149519253
HG00524	HG02386	3.23	1	3.23	0.003041307149519253
HG00524	NA19678	3.23	1	3.23	0.003041307149519253
HG00581	HG02387	3.23	1	3.23	0.003041307149519253
HG00581	HG03948	3.23	1	3.23	0.003041307149519253
HG00581	NA20322	3.23	1	3.23	0.003041307149519253
HG00581	NA20895	3.23	1	3.23	0.003041307149519253
HG00702	HG02387	3.23	1	3.23	0.003041307149519253
HG00702	HG03948	3.23	1	3.23	0.003041307149519253
HG00702	NA20322	3.23	1	3.23	0.003041307149519253
HG00702	NA20895	3.23	1	3.23	0.003041307149519253
HG00731	HG01936	3.23	1	3.23	0.003041307149519253
HG00731	HG02024	3.23	1	3.23	0.003041307149519253
HG00731	HG02026	3.23	1	3.23	0.003041307149519253
HG00731	HG03713	3.23	1	3.23	0.003041307149519253
HG00731	NA19238	3.23	1	3.23	0.003041307149519253
