FID1	IID1	FID2	IID2	RT	EZ	Z0	Z1	Z2	PI_HAT	PHE	DST	PPC	RATIO	IBS0	IBS1	IBS2	HOMHOM	HETHET
HG00119	HG00119	HG00124	HG00124	UN		0.3037	0.6169	0.0794	0.3879	-1	0.822188	1.0	8.1449	3694	60823	127289	207.0	1686.0
HG00119	HG00119	HG00501	HG00501	UN		1.0	0.0	0.0	0.0	-1	0.74049	0.0001	1.6858	13997	71557	106252	716.0	1207.0
HG00119	HG00119	HG00524	HG00524	UN		1.0	0.0	0.0	0.0	-1	0.742039	0.0607	1.8571	13712	71533	106561	672.0	1248.0
HG00119	HG00119	HG00581	HG00581	UN		1.0	0.0	0.0	0.0	-1	0.74145	0.0002	1.6864	13764	71655	106387	711.0	1199.0
HG00119	HG00119	HG00635	HG00635	UN		1.0	0.0	0.0	0.0	-1	0.740662	0.0706	1.8638	13864	71757	106185	668.0	1245.0
HG00119	HG00119	HG00702	HG00702	UN		1.0	0.0	0.0	0.0	-1	0.740967	0.0073	1.7805	13704	71960	106142	688.0	1225.0
HG00119	HG00119	HG00731	HG00731	UN		0.7763	0.196	0.0277	0.1257	-1	0.767744	1.0	2.9182	9443	70210	112153	489.0	1427.0
HG00119	HG00119	HG00732	HG00732	UN		0.8318	0.1324	0.0358	0.102	-1	0.763639	1.0	2.6514	10118	70435	111253	525.0	1392.0
HG00119	HG00119	HG00733	HG00733	UN		0.85	0.111	0.039	0.0945	-1	0.762374	1.0	2.5746	10339	70478	110989	536.0	1380.0
HG00119	HG00119	HG01936	HG01936	UN		0.9436	0.0	0.0564	0.0564	-1	0.752894	0.5516	2.0126	11914	70965	108927	633.0	1274.0
HG00119	HG00119	HG01983	HG01983	UN		0.9388	0.0	0.0612	0.0612	-1	0.754051	0.8088	2.0872	11873	70603	109330	619.0	1292.0
HG00119	HG00119	HG02024	HG02024	UN		1.0	0.0	0.0	0.0	-1	0.74158	0.016	1.8058	13202	72729	105875	685.0	1237.0
