FID1	IID1	FID2	IID2	RT	EZ	Z0	Z1	Z2	PI_HAT	PHE	DST	PPC	RATIO	IBS0	IBS1	IBS2	HOMHOM	HETHET
HG00119	HG00119	HG00524	HG00524	UN		1.0	0.0	0.0	0.0	-1	0.723651	0.1763	1.5926	9040	41257	57062	27.0	43.0
HG00119	HG00119	HG00581	HG00581	UN		1.0	0.0	0.0	0.0	-1	0.726993	0.0455	1.3333	9091	40437	57830	30.0	40.0
HG00119	HG00119	HG00731	HG00731	UN		0.8793	0.034	0.0867	0.1037	-1	0.765099	0.8465	2.6316	5678	39080	62598	19.0	50.0
HG00119	HG00119	HG00732	HG00732	UN		0.881	0.0379	0.0811	0.1	-1	0.764026	0.6323	2.1818	5689	39289	62379	22.0	48.0
HG00119	HG00119	HG01936	HG01936	UN		1.0	0.0	0.0	0.0	-1	0.728001	0.5	2.0	9553	39295	58507	23.0	46.0
HG00119	HG00119	HG02025	HG02025	UN		1.0	0.0	0.0	0.0	-1	0.734812	0.6008	2.1364	8821	39298	59239	22.0	47.0
HG00119	HG00119	HG02026	HG02026	UN		1.0	0.0	0.0	0.0	-1	0.732882	0.026	1.2581	8725	39905	58729	31.0	39.0
HG00119	HG00119	HG02067	HG02067	UN		1.0	0.0	0.0	0.0	-1	0.733213	0.3992	1.875	8474	40335	58548	24.0	45.0
HG00119	HG00119	HG02250	HG02250	UN		1.0	0.0	0.0	0.0	-1	0.729151	0.1008	1.4643	9441	39273	58643	28.0	41.0
HG00119	HG00119	HG02353	HG02353	UN		1.0	0.0	0.0	0.0	-1	0.721728	0.6008	2.1364	9973	39803	57581	22.0	47.0
HG00119	HG00119	HG02371	HG02371	UN		1.0	0.0	0.0	0.0	-1	0.729943	0.2495	1.6923	9578	38829	58950	26.0	44.0
HG00119	HG00119	HG02373	HG02373	UN		1.0	0.0	0.0	0.0	-1	0.726436	0.2495	1.6923	9163	40412	57782	26.0	44.0
HG00119	HG00119	HG02375	HG02375	UN		1.0	0.0	0.0	0.0	-1	0.70924	0.0754	1.4138	9833	42766	54761	29.0	41.0
HG00119	HG00119	HG02386	HG02386	UN		1.0	0.0	0.0	0.0	-1	0.734305	0.9631	3.3125	8725	39598	59033	16.0	53.0
HG00119	HG00119	HG03673	HG03673	UN		1.0	0.0	0.0	0.0	-1	0.73053	0.5337	2.0435	7686	42486	57183	23.0	47.0
HG00119	HG00119	HG03713	HG03713	UN		1.0	0.0	0.0	0.0	-1	0.749457	0.7229	2.3333	7158	39479	60720	21.0	49.0
HG00119	HG00119	NA19027	NA19027	UN		1.0	0.0	0.0	0.0	-1	0.702029	0.0455	1.3333	10106	43760	53480	30.0	40.0
HG00119	HG00119	NA19238	NA19238	UN		1.0	0.0	0.0	0.0	-1	0.691688	0.0	0.7949	10482	45230	51637	39.0	31.0
HG00119	HG00119	NA19239	NA19239	UN		1.0	0.0	0.0	0.0	-1	0.688838	0.0455	1.3333	10787	45235	51332	30.0	40.0
HG00119	HG00119	NA19331	NA19331	UN		1.0	0.0	0.0	0.0	-1	0.683144	0.0034	1.0588	10852	46323	50172	34.0	36.0
HG00119	HG00119	NA19661	NA19661	UN		1.0	0.0	0.0	0.0	-1	0.746311	0.1763	1.5926	7719	39033	60606	27.0	43.0
HG00119	HG00119	NA19664	NA19664	UN		0.9408	0.0	0.0592	0.0592	-1	0.752846	0.5337	2.0435	6195	40679	60486	23.0	47.0
HG00119	HG00119	NA19678	NA19678	UN		1.0	0.0	0.0	0.0	-1	0.753467	0.2218	1.6538	6570	39795	60994	26.0	43.0
HG00119	HG00119	NA19679	NA19679	UN		0.9374	0.0	0.0626	0.0626	-1	0.751202	0.7782	2.45	6355	40711	60292	20.0	49.0
HG00119	HG00119	NA19713	NA19713	UN		1.0	0.0	0.0	0.0	-1	0.718376	0.4329	1.9167	8946	42576	55834	24.0	46.0
HG00119	HG00119	NA20289	NA20289	UN		0.9147	0.0473	0.038	0.0617	-1	0.75374	0.6323	2.1818	5906	41062	60386	22.0	48.0
HG00119	HG00119	NA20321	NA20321	UN		1.0	0.0	0.0	0.0	-1	0.693479	0.0034	1.0588	11282	43243	52820	34.0	36.0
HG00119	HG00119	NA20334	NA20334	UN		1.0	0.0	0.0	0.0	-1	0.736919	0.5337	2.0435	7533	41419	58401	23.0	47.0
HG00119	HG00119	NA20792	NA20792	UN		1.0	0.0	0.0	0.0	-1	0.759722	0.8992	2.8333	6707	38178	62474	18.0	51.0
HG00119	HG00119	NA20868	NA20868	UN		1.0	0.0	0.0	0.0	-1	0.739325	0.2495	1.6923	9165	37641	60552	26.0	44.0
HG00119	HG00119	NA20886	NA20886	UN		0.857	0.115	0.0279	0.0855	-1	0.757908	0.7229	2.3333	5534	40913	60911	21.0	49.0
HG00119	HG00119	NA20895	NA20895	UN		0.902	0.0	0.098	0.098	-1	0.758539	0.7782	2.45	6299	39247	61811	20.0	49.0
HG00119	HG00119	HG00124	HG00124	UN		0.4912	0.5057	0.0031	0.2559	-1	0.790642	0.9975	4.75	3172	38608	65577	12.0	57.0
HG00119	HG00119	HG00501	HG00501	UN		1.0	0.0	0.0	0.0	-1	0.737074	0.5	2.0	8164	40126	59067	23.0	46.0
HG00119	HG00119	HG00635	HG00635	UN		1.0	0.0	0.0	0.0	-1	0.72452	0.6323	2.1818	9595	39961	57804	22.0	48.0
HG00119	HG00119	HG00702	HG00702	UN		1.0	0.0	0.0	0.0	-1	0.726609	0.1008	1.4643	8534	41634	57191	28.0	41.0
HG00119	HG00119	HG00733	HG00733	UN		0.6776	0.3224	0.0	0.1612	-1	0.763888	0.8465	2.6316	4520	41658	61182	19.0	50.0
HG00119	HG00119	HG01983	HG01983	UN		0.9386	0.0	0.0614	0.0614	-1	0.751889	0.9119	2.8889	6291	40692	60376	18.0	52.0
HG00119	HG00119	HG02024	HG02024	UN		1.0	0.0	0.0	0.0	-1	0.72948	0.7782	2.45	9411	39264	58685	20.0	49.0
HG00119	HG00119	HG02046	HG02046	UN		1.0	0.0	0.0	0.0	-1	0.731287	0.1535	1.5556	9042	39614	58704	27.0	42.0
HG00119	HG00119	HG02363	HG02363	UN		1.0	0.0	0.0	0.0	-1	0.720373	0.1008	1.4643	9576	40889	56894	28.0	41.0
HG00119	HG00119	HG02372	HG02372	UN		1.0	0.0	0.0	0.0	-1	0.720966	0.2495	1.6923	9801	40311	57246	26.0	44.0
HG00119	HG00119	HG02377	HG02377	UN		1.0	0.0	0.0	0.0	-1	0.734878	0.8641	2.6842	8857	39213	59290	19.0	51.0
HG00119	HG00119	HG02381	HG02381	UN		1.0	0.0	0.0	0.0	-1	0.724436	0.3363	1.8	8806	41556	56996	25.0	45.0
HG00119	HG00119	HG02387	HG02387	UN		1.0	0.0	0.0	0.0	-1	0.733173	0.1535	1.5556	8329	40635	58396	27.0	42.0
HG00119	HG00119	HG02388	HG02388	UN		1.0	0.0	0.0	0.0	-1	0.732889	0.6008	2.1364	7906	41541	57911	22.0	47.0
HG00119	HG00119	HG03715	HG03715	UN		1.0	0.0	0.0	0.0	-1	0.754755	0.8641	2.6842	6798	39061	61497	19.0	51.0
HG00119	HG00119	HG03948	HG03948	UN		1.0	0.0	0.0	0.0	-1	0.708445	0.0	0.725	13267	36067	58023	40.0	29.0
HG00119	HG00119	NA19240	NA19240	UN		1.0	0.0	0.0	0.0	-1	0.687346	0.014	1.1875	11339	44455	51566	32.0	38.0
HG00119	HG00119	NA19311	NA19311	UN		1.0	0.0	0.0	0.0	-1	0.694081	0.2495	1.6923	10850	43979	52518	26.0	44.0
HG00119	HG00119	NA19313	NA19313	UN		1.0	0.0	0.0	0.0	-1	0.687211	0.0754	1.4138	10996	45165	51191	29.0	41.0
HG00119	HG00119	NA19660	NA19660	UN		1.0	0.0	0.0	0.0	-1	0.742346	0.5337	2.0435	6762	41798	58797	23.0	47.0
HG00119	HG00119	NA19675	NA19675	UN		1.0	0.0	0.0	0.0	-1	0.748882	0.4329	1.9167	6515	40890	59955	24.0	46.0
HG00119	HG00119	NA19685	NA19685	UN		1.0	0.0	0.0	0.0	-1	0.739274	0.6323	2.1818	7531	40921	58908	22.0	48.0
HG00119	HG00119	NA19985	NA19985	UN		1.0	0.0	0.0	0.0	-1	0.714731	0.6323	2.1818	9644	41957	55745	22.0	48.0
HG00119	HG00119	NA20322	NA20322	UN		1.0	0.0	0.0	0.0	-1	0.725003	0.6323	2.1818	7590	43863	55899	22.0	48.0
HG00119	HG00119	NA20336	NA20336	UN		0.9151	0.0	0.0849	0.0849	-1	0.755761	0.9373	3.0588	6321	39799	61236	17.0	52.0
HG00119	HG00119	NA20341	NA20341	UN		1.0	0.0	0.0	0.0	-1	0.723035	0.1763	1.5926	7734	43997	55620	27.0	43.0
HG00119	HG00119	NA20344	NA20344	UN		1.0	0.0	0.0	0.0	-1	0.69268	0.0455	1.3333	10140	45698	51506	30.0	40.0
HG00119	HG00119	NA20526	NA20526	UN		1.0	0.0	0.0	0.0	-1	0.758283	0.5	2.0	6931	38039	62389	23.0	46.0
HG00119	HG00119	NA20871	NA20871	UN		1.0	0.0	0.0	0.0	-1	0.743952	0.6008	2.1364	7414	40146	59791	22.0	47.0
HG00119	HG00119	NA20893	NA20893	UN		0.9225	0.0707	0.0067	0.0421	-1	0.747925	0.9795	3.6	5957	42210	59190	15.0	54.0
HG00119	HG00119	NA20898	NA20898	UN		1.0	0.0	0.0	0.0	-1	0.754536	0.9795	3.6	7103	38499	61756	15.0	54.0
HG00524	HG00524	HG00581	HG00581	UN		0.8053	0.0981	0.0966	0.1457	-1	0.774127	0.8465	2.6316	5200	38099	64060	19.0	50.0
HG00524	HG00524	HG00731	HG00731	UN		1.0	0.0	0.0	0.0	-1	0.71293	0.2495	1.6923	9642	42354	55361	26.0	44.0
HG00524	HG00524	HG00732	HG00732	UN		1.0	0.0	0.0	0.0	-1	0.726169	0.8641	2.6842	8050	42696	56612	19.0	51.0
HG00524	HG00524	HG01936	HG01936	UN		1.0	0.0	0.0	0.0	-1	0.740275	0.0627	1.3793	9281	37204	60871	29.0	40.0
HG00524	HG00524	HG02025	HG02025	UN		0.8473	0.0	0.1527	0.1527	-1	0.77735	0.3048	1.76	5612	36583	65164	25.0	44.0
HG00524	HG00524	HG02026	HG02026	UN		0.8172	0.0254	0.1574	0.1701	-1	0.78268	0.8465	2.6316	5277	36109	65974	19.0	50.0
HG00524	HG00524	HG02067	HG02067	UN		1.0	0.0	0.0	0.0	-1	0.765732	0.6952	2.2857	6642	37017	63699	21.0	48.0
HG00524	HG00524	HG02250	HG02250	UN		1.0	0.0	0.0	0.0	-1	0.759925	0.1008	1.4643	7594	36360	63404	28.0	41.0
HG00524	HG00524	HG02353	HG02353	UN		0.7838	0.0978	0.1184	0.1673	-1	0.779788	0.9631	3.3125	5061	37161	65136	16.0	53.0
HG00524	HG00524	HG02371	HG02371	UN		0.8177	0.0	0.1823	0.1823	-1	0.779318	0.7782	2.45	6012	35360	65986	20.0	49.0
HG00524	HG00524	HG02373	HG02373	UN		1.0	0.0	0.0	0.0	-1	0.769761	0.5	2.0	6544	36348	64466	23.0	46.0
HG00524	HG00524	HG02375	HG02375	UN		0.8079	0.0604	0.1316	0.1619	-1	0.779487	0.8992	2.8333	5217	36915	65229	18.0	51.0
HG00524	HG00524	HG02386	HG02386	UN		0.8546	0.0	0.1454	0.1454	-1	0.769386	0.8465	2.6316	6192	37132	64033	19.0	50.0
HG00524	HG00524	HG03673	HG03673	UN		1.0	0.0	0.0	0.0	-1	0.722931	0.2495	1.6923	8979	41532	56845	26.0	44.0
